time, cycle, y, x, tag
186897582,280611,8,17,88440000
186898248,280612,8,16,88400000
186898914,280613,9,17,89440000
186899580,280614,8,20,88500000
186900246,280615,9,16,89400000
186900912,280616,8,18,88480000
186901578,280617,10,17,8a440000
186902244,280618,8,23,885c0000
186902910,280619,9,20,89500000
186903576,280620,8,21,88540000
186904242,280621,10,16,8a400000
186904908,280622,8,26,88680000
186905574,280623,9,18,89480000
186906240,280624,8,19,884c0000
186906906,280625,11,17,8b440000
186907572,280626,8,29,88740000
186908238,280627,9,23,895c0000
186908904,280628,8,24,88600000
186909570,280629,10,23,8a5c0000
186910236,280630,8,22,88580000
186910902,280631,9,21,89540000
186911568,280632,8,27,886c0000
186912234,280633,11,16,8b400000
186912900,280634,8,25,88640000
186913566,280635,9,26,89680000
186914232,280636,8,30,88780000
186914898,280637,10,18,8a480000
186915564,280638,8,28,88700000
186916230,280639,9,19,894c0000
186916896,280640,8,31,887c0000
186917562,280641,12,17,8c440000
186918228,280642,9,29,89740000
186918894,280643,10,20,8a500000
186919560,280644,9,24,89600000
186920226,280645,11,20,8b500000
186920892,280646,9,22,89580000
186921558,280647,10,21,8a540000
186922224,280648,9,27,896c0000
186922890,280649,12,16,8c400000
186923556,280650,9,25,89640000
186924222,280651,10,26,8a680000
186924888,280652,9,30,89780000
186925554,280653,11,18,8b480000
186926220,280654,9,28,89700000
186926886,280655,10,25,8a640000
186927552,280656,9,31,897c0000
186928218,280657,13,18,8d480000
186928884,280658,10,29,8a740000
186929550,280659,11,23,8b5c0000
186930216,280660,10,24,8a600000
186930882,280661,12,23,8c5c0000
186932214,280663,11,21,8b540000
186932880,280664,10,19,8a4c0000
186933546,280665,13,16,8d400000
186935544,280668,10,27,8a6c0000
186936210,280669,12,18,8c480000
186937542,280671,11,26,8b680000
186938208,280672,10,22,8a580000
186938874,280673,14,16,8e400000
186940206,280675,11,19,8b4c0000
186940872,280676,10,30,8a780000
186941538,280677,12,20,8c500000
186943536,280680,10,28,8a700000
186944202,280681,13,17,8d440000
186945534,280683,11,29,8b740000
186946200,280684,10,31,8a7c0000
186946866,280685,12,21,8c540000
186948198,280687,11,24,8b600000
186949530,280689,14,17,8e440000
186950862,280691,12,26,8c680000
186952194,280693,13,23,8d5c0000
186952860,280694,11,22,8b580000
186953526,280695,12,19,8c4c0000
186954858,280697,15,16,8f400000
186956190,280699,12,29,8c740000
186956856,280700,11,27,8b6c0000
186957522,280701,13,24,8d600000
186958854,280703,12,24,8c600000
186960186,280705,14,23,8e5c0000
186960852,280706,11,25,8b640000
186961518,280707,12,22,8c580000
186962850,280709,13,20,8d500000
186965514,280713,12,27,8c6c0000
186966846,280715,11,30,8b780000
186968178,280717,15,17,8f440000
186970842,280721,12,25,8c640000
186973506,280725,13,19,8d4c0000
186974172,280726,11,28,8b700000
186974838,280727,12,30,8c780000
186976170,280729,14,18,8e480000
186977502,280731,12,28,8c700000
186978168,280732,11,31,8b7c0000
186978834,280733,13,26,8d680000
186981498,280737,12,31,8c7c0000
186984162,280741,15,23,8f5c0000
186985494,280743,13,21,8d540000
186986826,280745,14,20,8e500000
186988158,280747,13,29,8d740000
186989490,280749,15,18,8f480000
186990822,280751,13,25,8d640000
186992154,280753,14,21,8e540000
186993486,280755,13,27,8d6c0000
186994818,280757,15,20,8f500000
186996150,280759,13,22,8d580000
186997482,280761,14,26,8e680000
186999480,280764,13,30,8d780000
187003476,280770,15,21,8f540000
187008138,280777,13,28,8d700000
187012800,280784,14,25,8e640000
