time, cycle, y, x, tag
136839690,205449,9,23,895c0000
136840356,205450,8,23,885c0000
136841022,205451,8,16,88400000
136841688,205452,9,16,89400000
136842354,205453,8,24,88600000
136843020,205454,10,23,8a5c0000
136843686,205455,8,17,88440000
136844352,205456,9,24,89600000
136845018,205457,8,20,88500000
136845684,205458,10,16,8a400000
136846350,205459,8,18,88480000
136847016,205460,9,17,89440000
136847682,205461,8,26,88680000
136848348,205462,11,23,8b5c0000
136849014,205463,8,21,88540000
136849680,205464,9,20,89500000
136850346,205465,8,25,88640000
136851012,205466,10,24,8a600000
136851678,205467,8,27,886c0000
136852344,205468,9,18,89480000
136853010,205469,8,30,88780000
136853676,205470,11,16,8b400000
136854342,205471,9,26,89680000
136855008,205472,10,17,8a440000
136855674,205473,9,21,89540000
136856340,205474,12,23,8c5c0000
136857006,205475,9,25,89640000
136857672,205476,10,20,8a500000
136858338,205477,9,27,896c0000
136859004,205478,11,24,8b600000
136859670,205479,9,30,89780000
136860336,205480,10,18,8a480000
136861002,205481,12,16,8c400000
136861668,205482,10,26,8a680000
136862334,205483,11,17,8b440000
136863000,205484,10,21,8a540000
136863666,205485,13,23,8d5c0000
136864332,205486,10,25,8a640000
136864998,205487,11,20,8b500000
136865664,205488,10,27,8a6c0000
136866330,205489,12,24,8c600000
136866996,205490,10,30,8a780000
136867662,205491,11,18,8b480000
136868328,205492,13,16,8d400000
136868994,205493,11,26,8b680000
136869660,205494,12,17,8c440000
136870326,205495,11,21,8b540000
136870992,205496,14,17,8e440000
136871658,205497,11,25,8b640000
136872324,205498,12,20,8c500000
136872990,205499,11,27,8b6c0000
136873656,205500,13,18,8d480000
136874322,205501,11,30,8b780000
136874988,205502,12,18,8c480000
136875654,205503,14,16,8e400000
136876320,205504,12,26,8c680000
136876986,205505,13,17,8d440000
136877652,205506,12,21,8c540000
136878318,205507,15,16,8f400000
136878984,205508,12,19,8c4c0000
136879650,205509,13,20,8d500000
136880316,205510,12,27,8c6c0000
136880982,205511,14,23,8e5c0000
136881648,205512,12,22,8c580000
136882314,205513,13,24,8d600000
136882980,205514,12,30,8c780000
136883646,205515,15,17,8f440000
136884312,205516,13,26,8d680000
